GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2021112200,2021-11-22,2,12,13,TB,NYG,1,10,90,,0,,0,"(12:13) 72-J.WELLS REPORTED IN AS ELIGIBLE.  12-T.BRADY PASS INCOMPLETE SHORT LEFT TO 84-C.BRATE.",0,,,2021,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,10,OPP,0,,0,,0
2021112200,2021-11-22,2,6,31,TB,NYG,2,3,78,,1,,0,"(6:31) (SHOTGUN) 27-R.JONES UP THE MIDDLE TO NYG 18 FOR 4 YARDS (49-B.MCKINNEY; 95-Q.ROCHE).",0,,,2021,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,22,OPP,0,,0,,0
2021112200,2021-11-22,3,13,54,NYG,TB,1,10,66,,0,,0,"(13:54) (NO HUDDLE) 26-S.BARKLEY RIGHT TACKLE TO TB 33 FOR 1 YARD (90-J.PIERRE-PAUL).",0,,,2021,1,"NO HUDDLE",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT TACKLE",34,OPP,0,,0,,0
2021112802,2021-11-28,3,9,34,TB,IND,1,10,85,,1,,0,"(9:34) (SHOTGUN) 12-T.BRADY PASS SHORT MIDDLE TO 84-C.BRATE TO IND 5 FOR 10 YARDS (58-B.OKEREKE; 42-A.SENDEJO).",0,,,2021,10,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2021112802,2021-11-28,4,10,18,TB,IND,2,6,94,,0,,0,"(10:18) 12-T.BRADY PASS INCOMPLETE SHORT RIGHT TO 13-M.EVANS (53-D.LEONARD).",0,,,2021,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,6,OPP,0,,0,,0
2021112802,2021-11-28,4,10,14,TB,IND,3,6,94,,0,,0,"(10:14) (SHOTGUN) 12-T.BRADY PASS INCOMPLETE SHORT MIDDLE TO 13-M.EVANS (99-D.BUCKNER).",0,,,2021,0,SHOTGUN,PASS,0,1,1,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,6,OPP,0,,0,,0
2021112502,2021-11-25,4,9,50,BUF,NO,1,10,77,,0,,0,"(9:50) 26-D.SINGLETARY LEFT GUARD TO NO 21 FOR 2 YARDS (70-C.RINGO).",0,,,2021,2,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",23,OPP,0,,0,,0
2021112502,2021-11-25,4,7,8,,,0,0,100,,1,,0,"TIMEOUT #2 BY NO AT 07:08.",0,,,2021,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
2021112804,2021-11-28,2,5,58,MIA,CAR,1,10,86,,0,,0,"(5:58) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 26-S.AHMED TO CAR 5 FOR 9 YARDS (31-J.BURRIS).",0,,,2021,9,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,14,OPP,0,,0,,0
2021112804,2021-11-28,3,8,7,MIA,CAR,1,10,60,,1,,0,"(8:07) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 81-D.SMYTHE TO CAR 29 FOR 11 YARDS (21-J.CHINN).",0,,,2021,11,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,40,OPP,0,,0,,0
2021112804,2021-11-28,3,7,25,MIA,CAR,1,10,71,,0,,0,"(7:25) (SHOTGUN) 31-P.LINDSAY RIGHT GUARD TO CAR 27 FOR 2 YARDS (95-D.BROWN).",0,,,2021,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",29,OPP,0,,0,,0
2021112804,2021-11-28,3,1,14,MIA,CAR,1,10,64,,0,,0,"(1:14) 31-P.LINDSAY RIGHT END RAN OB AT CAR 29 FOR 7 YARDS (93-B.ROY, 4-J.CARTER).",0,,,2021,7,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT END",36,OPP,0,,0,,0
2021112804,2021-11-28,3,0,34,MIA,CAR,2,3,71,,0,,0,"(:34) (SHOTGUN) 31-P.LINDSAY UP THE MIDDLE TO CAR 27 FOR 2 YARDS (7-S.THOMPSON).",0,,,2021,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,29,OPP,0,,0,,0
2021112804,2021-11-28,4,12,44,MIA,CAR,2,12,74,,0,,0,"(12:44) (NO HUDDLE, SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 81-D.SMYTHE TO CAR 23 FOR 3 YARDS (21-J.CHINN). PENALTY ON MIA-74-L.EICHENBERG, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CAR 26 - NO PLAY.",0,,,2021,3,"NO HUDDLE SHOTGUN",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,1,0,0,,26,OPP,1,MIA,1,"OFFENSIVE HOLDING",10
2021112804,2021-11-28,4,12,20,MIA,CAR,2,22,64,,0,,0,"(12:20) (SHOTGUN) PENALTY ON MIA-73-A.JACKSON, FALSE START, 5 YARDS, ENFORCED AT CAR 36 - NO PLAY.",0,,,2021,0,SHOTGUN,"NO PLAY",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,36,OPP,1,MIA,1,"FALSE START",5
2021112804,2021-11-28,4,12,18,MIA,CAR,2,27,59,,0,,0,"(12:18) (SHOTGUN) 37-M.GASKIN LEFT GUARD TO CAR 33 FOR 8 YARDS (21-J.CHINN). MIA-61-A.REITER WAS INJURED DURING THE PLAY. HIS RETURN IS PROBABLE. CAR-21-J.CHINN WAS INJURED DURING THE PLAY. HIS RETURN IS PROBABLE.",0,,,2021,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",41,OPP,0,,0,,0
2021112804,2021-11-28,4,6,50,MIA,CAR,4,1,72,,1,,0,"(6:50) DIRECT SNAP TO 81-D.SMYTHE.  81-D.SMYTHE UP THE MIDDLE TO CAR 27 FOR 1 YARD (90-D.JONES, 91-M.FOX).",0,,,2021,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,28,OPP,0,,0,,0
2021112804,2021-11-28,4,6,5,MIA,CAR,1,10,73,,0,,0,"(6:05) (SHOTGUN) 31-P.LINDSAY RIGHT GUARD TO CAR 18 FOR 9 YARDS (4-J.CARTER).",0,,,2021,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",27,OPP,0,,0,,0
2021112804,2021-11-28,4,5,20,MIA,CAR,2,1,82,,1,,0,"(5:20) DIRECT SNAP TO 81-D.SMYTHE.  81-D.SMYTHE UP THE MIDDLE TO CAR 16 FOR 2 YARDS (43-H.REDDICK; 4-J.CARTER).",0,,,2021,2,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,18,OPP,0,,0,,0
2021112804,2021-11-28,4,4,37,MIA,CAR,1,10,84,,0,,0,"(4:37) (SHOTGUN) 31-P.LINDSAY LEFT TACKLE TO CAR 15 FOR 1 YARD (26-D.JACKSON).",0,,,2021,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT TACKLE",16,OPP,0,,0,,0
