Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Jakobi MeyersJ. Meyers,JAX@LV,4.00,0,0,0,0,0,0,0,0,0,0,2,41,0,0,0,0
Raheem MostertR. Mostert,SF@MIA,4.00,0,0,0,0,0,0,8,31,0,0,2,15,0,0,0,0
Tre TuckerT. Tucker,JAX@LV,4.00,0,0,0,0,0,0,1,-8,0,0,2,41,0,0,0,0
Javonte WilliamsJ. Williams,DEN@LAC,4.00,0,0,0,0,0,0,4,24,0,0,7,29,0,0,0,0
Michael WilsonM. Wilson,ARI@CAR,4.00,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
Demario DouglasD. Douglas,NE@BUF,3.00,0,0,0,0,0,0,1,6,0,0,4,33,0,0,0,0
Travis EtienneT. Etienne,JAX@LV,3.00,0,0,0,0,0,0,9,22,0,0,2,15,0,0,0,0
Marvin HarrisonM. Harrison,ARI@CAR,3.00,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
Justice HillJ. Hill,PIT@BAL,3.00,0,0,0,0,0,0,2,30,0,0,0,0,0,0,0,0
DeAndre HopkinsD. Hopkins,HOU@KC,3.00,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
Ty JohnsonT. Johnson,NE@BUF,3.00,0,0,0,0,0,0,6,30,0,0,0,0,0,0,0,0
Travis KelceT. Kelce,HOU@KC,3.00,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0
Jeremy McNicholsJ. McNichols,PHI@WAS,3.00,0,0,0,0,0,0,2,3,0,1,4,15,0,0,0,0
Adonai MitchellA. Mitchell,TEN@IND,3.00,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0
Trey PalmerT. Palmer,TB@DAL,3.00,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Ricky PearsallR. Pearsall,SF@MIA,3.00,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
Sterling ShepardS. Shepard,TB@DAL,3.00,0,0,0,0,0,0,1,14,0,0,1,20,0,0,0,0
Stone SmarttS. Smartt,DEN@LAC,3.00,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
Tommy TrembleT. Tremble,ARI@CAR,3.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
Tyler AllgeierT. Allgeier,NYG@ATL,2.00,0,0,0,0,0,0,11,22,0,0,1,9,0,0,0,0
Tyler BoydT. Boyd,TEN@IND,2.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Dan ChisenaD. Chisena,ARI@CAR,2.00,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
Re'Mahn DavisR. Davis,NE@BUF,2.00,0,0,0,0,0,0,5,12,0,0,1,17,0,0,0,0
Payne DurhamP. Durham,TB@DAL,2.00,0,0,0,0,0,0,0,0,0,0,5,29,0,0,0,0
Troy FranklinT. Franklin,DEN@LAC,2.00,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
Antonio GibsonA. Gibson,NE@BUF,2.00,0,0,0,0,0,0,10,28,0,0,2,8,0,0,0,0
Tyler GoodsonT. Goodson,TEN@IND,2.00,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0
T.J. HockensonT. Hockenson,MIN@SEA,2.00,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
Mack HollinsM. Hollins,NE@BUF,2.00,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
Jermar JeffersonJ. Jefferson,DET@CHI,2.00,0,0,0,0,0,0,3,13,0,0,1,10,0,0,0,0
Van JeffersonV. Jefferson,PIT@BAL,2.00,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
Jerry JeudyJ. Jeudy,CLE@CIN,2.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Kyle JuszczykK. Juszczyk,SF@MIA,2.00,0,0,0,0,0,0,1,6,0,0,1,20,0,0,0,0
Dawson KnoxD. Knox,NE@BUF,2.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Lucas KrullL. Krull,DEN@LAC,2.00,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
Cooper KuppC. Kupp,LA@NYJ,2.00,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
Allen LazardA. Lazard,LA@NYJ,2.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Trey McBrideT. McBride,ARI@CAR,2.00,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
Kenny McIntoshK. McIntosh,MIN@SEA,2.00,0,0,0,0,0,0,3,14,0,0,1,15,0,0,0,0
Elijah MooreE. Moore,CLE@CIN,2.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
Isiah PachecoI. Pacheco,HOU@KC,2.00,0,0,0,0,0,0,9,26,0,0,1,-1,0,0,0,0
Trey SermonT. Sermon,TEN@IND,2.00,0,0,0,0,0,0,8,25,0,0,0,0,0,0,0,0
Khalil ShakirK. Shakir,NE@BUF,2.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Ben SkowronekB. Skowronek,PIT@BAL,2.00,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
Darius SlaytonD. Slayton,NYG@ATL,2.00,0,0,0,0,0,0,1,6,0,0,1,21,0,0,0,0
Patrick TaylorP. Taylor,SF@MIA,2.00,0,0,0,0,0,0,8,24,0,0,1,1,0,0,0,0
Sione VakiS. Vaki,DET@CHI,2.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Kimani VidalK. Vidal,DEN@LAC,2.00,0,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0
Malik WashingtonM. Washington,SF@MIA,2.00,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
Blake WatsonB. Watson,DEN@LAC,2.00,0,0,0,0,0,0,4,10,0,0,1,13,0,0,0,0
Mike WilliamsM. Williams,PIT@BAL,2.00,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
Nate AdkinsN. Adkins,DEN@LAC,1.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
Mo Alie-CoxM. Alie-Cox,TEN@IND,1.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Chatarius AtwellC. Atwell,LA@NYJ,1.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Raheem BlackshearR. Blackshear,ARI@CAR,1.00,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0
Chris BlairC. Blair,NYG@ATL,1.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Kendrick BourneK. Bourne,NE@BUF,1.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
Pharaoh BrownP. Brown,MIN@SEA,1.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Zach CharbonnetZ. Charbonnet,MIN@SEA,1.00,0,0,0,0,0,0,1,-1,0,0,2,14,0,0,0,0
Keon ColemanK. Coleman,NE@BUF,1.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Amari CooperA. Cooper,NE@BUF,1.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Blake CorumB. Corum,LA@NYJ,1.00,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0
Isaiah DavisI. Davis,LA@NYJ,1.00,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0
